All,সকল
None,"কোনটাই না"
"Allowed Scopes","অনুমোদিত সুযোগগুলি"
"You need more permissions to delete this item(s): %1.","এটি(এগুলি) মুছতে আপনার আরও অনুমতি দরকার: %1."
"Incorrect website ID: %1","ভুল website ID: %1"
"You need more permissions to access website ""%1"".","ওয়েবসাইটটিতে প্রবেশ করার জন্য আপনার আরও অনুমতি দরকার ""%1""."
"Incorrect store ID: %1","22/5000
ভুল স্টোর আইডি:%1"
Custom,"নিজের মতো করে"
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" স্টোর আইডিটি ভুল. স্টোর আইডি যাচাই করুন এবং আবার চেষ্টা করুন."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" স্টোর আইডিটি ভুল. স্টোর আইডি যাচাই করুন এবং আবার চেষ্টা করুন."
"More permissions are needed to save this setting.","এই সেটিংটি সংরক্ষণ করতে আরও অনুমতি প্রয়োজন."
"Mark as Read","পঠিত হিসেবে চিহ্নিত করুন"
"Are you sure?","আপনি কি নিশ্চিত?"
Remove,"মুছে দিন"
"Messages Inbox","বার্তা ইনবক্স"
"Incoming Message","আগত বার্তা"
close,"বন্ধ করুন"
